alloc,,clusters,,tasksAlloc,,file
1,,[[r2, r3, r1], [r4, r5]],,{r2=[at4_6, at4_3, at4_21, at4_24, at3_25, at3_7, at3_4, at3_19, at3_22], r3=[at4_15, at4_18, at4_9, at4_27, at4_12, at3_28, at3_10, at3_13, at3_16, at2_11, at2_14, at2_20, at2_23, at2_26, at2_29], r4=[at1_1, at1_2], r5=[at1_1, at1_2], r1=[at2_17, at2_8, at2_5]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/Hosp/H-r5t29-j2c0o9/results/Alloy//Allocation1.xml
2,,[[r2, r3, r1], [r4, r5]],,{r2=[at4_6, at4_3], r3=[at4_15, at4_18, at4_9, at4_21, at4_24, at4_27, at4_12, at3_25, at3_28, at3_13, at3_16, at3_22, at2_11, at2_14, at2_17], r4=[at1_1, at1_2], r5=[at1_1, at1_2], r1=[at3_7, at3_4, at3_10, at3_19, at2_8, at2_5, at2_20, at2_23, at2_26, at2_29]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/Hosp/H-r5t29-j2c0o9/results/Alloy//Allocation2.xml
3,,[[r2, r3], [r4, r5]],,{r2=[at4_15, at4_6, at4_9, at4_3, at4_21, at4_24, at4_27, at3_25, at3_7, at3_4, at2_8, at2_5, at2_23, at2_26, at2_29], r3=[at4_18, at4_12, at3_28, at3_10, at3_13, at3_16, at3_19, at3_22, at2_11, at2_14, at2_17, at2_20], r4=[at1_1, at1_2], r5=[at1_1, at1_2]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/Hosp/H-r5t29-j2c0o9/results/Alloy//Allocation3.xml
14,,[[r2, r3], [r4, r5]],,{r2=[at4_6, at4_3, at3_25, at3_28, at3_7, at3_4, at3_10, at3_16, at3_19, at2_17, at2_8, at2_5, at2_23, at2_26, at2_29], r3=[at4_15, at4_18, at4_9, at4_21, at4_24, at4_27, at4_12, at3_13, at3_22, at2_11, at2_14, at2_20], r4=[at1_1, at1_2], r5=[at1_1, at1_2]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/Hosp/H-r5t29-j2c0o9/results/Alloy//Allocation14.xml
15,,[[r2, r3], [r4, r5]],,{r2=[at4_6, at4_3, at3_25, at3_28, at3_7, at3_4, at3_10, at3_16, at3_19, at2_11, at2_8, at2_5, at2_23, at2_26, at2_29], r3=[at4_15, at4_18, at4_9, at4_21, at4_24, at4_27, at4_12, at3_13, at3_22, at2_14, at2_17, at2_20], r4=[at1_1, at1_2], r5=[at1_1, at1_2]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/Hosp/H-r5t29-j2c0o9/results/Alloy//Allocation15.xml
16,,[[r2, r3], [r4, r5]],,{r2=[at4_6, at4_3, at3_25, at3_28, at3_7, at3_4, at3_10, at3_16, at3_19, at2_8, at2_5, at2_23, at2_26, at2_29], r3=[at4_15, at4_18, at4_9, at4_21, at4_24, at4_27, at4_12, at3_13, at3_22, at2_11, at2_14, at2_17, at2_20], r4=[at1_1, at1_2], r5=[at1_1, at1_2]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/Hosp/H-r5t29-j2c0o9/results/Alloy//Allocation16.xml
17,,[[r2, r3], [r4, r5]],,{r2=[at4_6, at4_3, at4_24, at4_27, at3_28, at3_7, at3_4, at3_10, at3_16, at3_19, at3_22, at2_8, at2_5, at2_23, at2_26], r3=[at4_15, at4_18, at4_9, at4_21, at4_12, at3_25, at3_13, at2_11, at2_14, at2_17, at2_20, at2_29], r4=[at1_1, at1_2], r5=[at1_1, at1_2]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/Hosp/H-r5t29-j2c0o9/results/Alloy//Allocation17.xml
18,,[[r2, r3], [r4, r5]],,{r2=[at4_6, at4_3, at4_27, at3_25, at3_28, at3_7, at3_4, at3_10, at3_16, at3_19, at2_8, at2_5, at2_23, at2_26, at2_29], r3=[at4_15, at4_18, at4_9, at4_21, at4_24, at4_12, at3_13, at3_22, at2_11, at2_14, at2_17, at2_20], r4=[at1_1, at1_2], r5=[at1_1, at1_2]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/Hosp/H-r5t29-j2c0o9/results/Alloy//Allocation18.xml
19,,[[r2, r3], [r4, r5]],,{r2=[at4_15, at4_6, at4_3, at3_25, at3_28, at3_7, at3_4, at3_10, at3_16, at3_22, at2_8, at2_5, at2_23, at2_26, at2_29], r3=[at4_18, at4_9, at4_21, at4_24, at4_27, at4_12, at3_13, at3_19, at2_11, at2_14, at2_17, at2_20], r4=[at1_1, at1_2], r5=[at1_1, at1_2]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/Hosp/H-r5t29-j2c0o9/results/Alloy//Allocation19.xml
20,,[[r2, r3], [r4, r5]],,{r2=[at4_6, at4_3, at4_24, at3_25, at3_28, at3_7, at3_4, at3_10, at3_16, at3_19, at2_8, at2_5, at2_23, at2_26, at2_29], r3=[at4_15, at4_18, at4_9, at4_21, at4_27, at4_12, at3_13, at3_22, at2_11, at2_14, at2_17, at2_20], r4=[at1_1, at1_2], r5=[at1_1, at1_2]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/Hosp/H-r5t29-j2c0o9/results/Alloy//Allocation20.xml
21,,[[r2, r3], [r4, r5]],,{r2=[at4_6, at4_3, at3_25, at3_28, at3_7, at3_4, at3_10, at3_16, at3_19, at3_22, at2_8, at2_5, at2_23, at2_26, at2_29], r3=[at4_15, at4_18, at4_9, at4_21, at4_24, at4_27, at4_12, at3_13, at2_11, at2_14, at2_17, at2_20], r4=[at1_1, at1_2], r5=[at1_1, at1_2]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/Hosp/H-r5t29-j2c0o9/results/Alloy//Allocation21.xml
22,,[[r2, r3], [r4, r5]],,{r2=[at4_6, at4_3, at4_21, at3_25, at3_28, at3_7, at3_4, at3_10, at3_16, at3_19, at2_8, at2_5, at2_23, at2_26, at2_29], r3=[at4_15, at4_18, at4_9, at4_24, at4_27, at4_12, at3_13, at3_22, at2_11, at2_14, at2_17, at2_20], r4=[at1_1, at1_2], r5=[at1_1, at1_2]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/Hosp/H-r5t29-j2c0o9/results/Alloy//Allocation22.xml
23,,[[r2, r3], [r4, r5]],,{r2=[at4_6, at4_9, at4_3, at3_25, at3_28, at3_7, at3_4, at3_10, at3_16, at3_19, at2_8, at2_5, at2_23, at2_26, at2_29], r3=[at4_15, at4_18, at4_21, at4_24, at4_27, at4_12, at3_13, at3_22, at2_11, at2_14, at2_17, at2_20], r4=[at1_1, at1_2], r5=[at1_1, at1_2]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/Hosp/H-r5t29-j2c0o9/results/Alloy//Allocation23.xml
24,,[[r2, r3], [r4, r5]],,{r2=[at4_18, at4_6, at4_3, at3_25, at3_28, at3_7, at3_4, at3_10, at3_16, at3_19, at2_8, at2_5, at2_23, at2_26, at2_29], r3=[at4_15, at4_9, at4_21, at4_24, at4_27, at4_12, at3_13, at3_22, at2_11, at2_14, at2_17, at2_20], r4=[at1_1, at1_2], r5=[at1_1, at1_2]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/Hosp/H-r5t29-j2c0o9/results/Alloy//Allocation24.xml
25,,[[r2, r3], [r4, r5]],,{r2=[at4_18, at4_6, at4_3, at3_25, at3_28, at3_7, at3_4, at3_10, at3_16, at3_19, at2_8, at2_5, at2_26, at2_29], r3=[at4_15, at4_9, at4_21, at4_24, at4_27, at4_12, at3_13, at3_22, at2_11, at2_14, at2_17, at2_20, at2_23], r4=[at1_1, at1_2], r5=[at1_1, at1_2]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/Hosp/H-r5t29-j2c0o9/results/Alloy//Allocation25.xml
26,,[[r2, r3], [r4, r5]],,{r2=[at4_6, at4_3, at3_25, at3_28, at3_7, at3_4, at3_10, at3_16, at3_19, at2_17, at2_8, at2_5, at2_20, at2_26, at2_29], r3=[at4_15, at4_18, at4_9, at4_21, at4_24, at4_27, at4_12, at3_13, at3_22, at2_11, at2_14, at2_23], r4=[at1_1, at1_2], r5=[at1_1, at1_2]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/Hosp/H-r5t29-j2c0o9/results/Alloy//Allocation26.xml
27,,[[r2, r3], [r4, r5]],,{r2=[at4_6, at4_3, at3_25, at3_28, at3_7, at3_4, at3_10, at3_16, at3_19, at2_11, at2_8, at2_5, at2_20, at2_26, at2_29], r3=[at4_15, at4_18, at4_9, at4_21, at4_24, at4_27, at4_12, at3_13, at3_22, at2_14, at2_17, at2_23], r4=[at1_1, at1_2], r5=[at1_1, at1_2]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/Hosp/H-r5t29-j2c0o9/results/Alloy//Allocation27.xml
28,,[[r2, r3], [r4, r5]],,{r2=[at4_6, at4_3, at3_25, at3_28, at3_7, at3_4, at3_10, at3_16, at3_19, at2_8, at2_5, at2_20, at2_26, at2_29], r3=[at4_15, at4_18, at4_9, at4_21, at4_24, at4_27, at4_12, at3_13, at3_22, at2_11, at2_14, at2_17, at2_23], r4=[at1_1, at1_2], r5=[at1_1, at1_2]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/Hosp/H-r5t29-j2c0o9/results/Alloy//Allocation28.xml
29,,[[r2, r3], [r4, r5]],,{r2=[at4_6, at4_3, at4_27, at3_25, at3_28, at3_7, at3_4, at3_10, at3_16, at3_19, at2_8, at2_5, at2_20, at2_26, at2_29], r3=[at4_15, at4_18, at4_9, at4_21, at4_24, at4_12, at3_13, at3_22, at2_11, at2_14, at2_17, at2_23], r4=[at1_1, at1_2], r5=[at1_1, at1_2]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/Hosp/H-r5t29-j2c0o9/results/Alloy//Allocation29.xml
30,,[[r2, r3], [r4, r5]],,{r2=[at4_6, at4_3, at3_25, at3_28, at3_7, at3_4, at3_10, at3_16, at3_19, at3_22, at2_8, at2_5, at2_20, at2_26, at2_29], r3=[at4_15, at4_18, at4_9, at4_21, at4_24, at4_27, at4_12, at3_13, at2_11, at2_14, at2_17, at2_23], r4=[at1_1, at1_2], r5=[at1_1, at1_2]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/Hosp/H-r5t29-j2c0o9/results/Alloy//Allocation30.xml
31,,[[r2, r3], [r4, r5]],,{r2=[at4_15, at4_6, at4_3, at3_25, at3_28, at3_7, at3_4, at3_10, at3_16, at3_19, at2_8, at2_5, at2_20, at2_26, at2_29], r3=[at4_18, at4_9, at4_21, at4_24, at4_27, at4_12, at3_13, at3_22, at2_11, at2_14, at2_17, at2_23], r4=[at1_1, at1_2], r5=[at1_1, at1_2]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/Hosp/H-r5t29-j2c0o9/results/Alloy//Allocation31.xml
32,,[[r2, r3], [r4, r5]],,{r2=[at4_15, at4_6, at4_3, at3_25, at3_28, at3_7, at3_4, at3_10, at3_16, at3_19, at2_11, at2_8, at2_5, at2_26, at2_29], r3=[at4_18, at4_9, at4_21, at4_24, at4_27, at4_12, at3_13, at3_22, at2_14, at2_17, at2_20, at2_23], r4=[at1_1, at1_2], r5=[at1_1, at1_2]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/Hosp/H-r5t29-j2c0o9/results/Alloy//Allocation32.xml
33,,[[r2, r3], [r4, r5]],,{r2=[at4_6, at4_3, at4_24, at3_25, at3_28, at3_7, at3_4, at3_10, at3_16, at3_19, at2_8, at2_5, at2_20, at2_26, at2_29], r3=[at4_15, at4_18, at4_9, at4_21, at4_27, at4_12, at3_13, at3_22, at2_11, at2_14, at2_17, at2_23], r4=[at1_1, at1_2], r5=[at1_1, at1_2]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/Hosp/H-r5t29-j2c0o9/results/Alloy//Allocation33.xml
34,,[[r2, r3], [r4, r5]],,{r2=[at4_6, at4_3, at4_21, at3_25, at3_28, at3_7, at3_4, at3_10, at3_16, at3_19, at2_8, at2_5, at2_20, at2_26, at2_29], r3=[at4_15, at4_18, at4_9, at4_24, at4_27, at4_12, at3_13, at3_22, at2_11, at2_14, at2_17, at2_23], r4=[at1_1, at1_2], r5=[at1_1, at1_2]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/Hosp/H-r5t29-j2c0o9/results/Alloy//Allocation34.xml
35,,[[r2, r3], [r4, r5]],,{r2=[at4_6, at4_9, at4_3, at3_25, at3_28, at3_7, at3_4, at3_10, at3_16, at3_19, at2_8, at2_5, at2_20, at2_26, at2_29], r3=[at4_15, at4_18, at4_21, at4_24, at4_27, at4_12, at3_13, at3_22, at2_11, at2_14, at2_17, at2_23], r4=[at1_1, at1_2], r5=[at1_1, at1_2]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/Hosp/H-r5t29-j2c0o9/results/Alloy//Allocation35.xml
36,,[[r2, r3], [r4, r5]],,{r2=[at4_18, at4_6, at4_3, at3_25, at3_28, at3_7, at3_4, at3_10, at3_16, at3_19, at2_8, at2_5, at2_20, at2_26, at2_29], r3=[at4_15, at4_9, at4_21, at4_24, at4_27, at4_12, at3_13, at3_22, at2_11, at2_14, at2_17, at2_23], r4=[at1_1, at1_2], r5=[at1_1, at1_2]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/Hosp/H-r5t29-j2c0o9/results/Alloy//Allocation36.xml
37,,[[r2, r3], [r4, r5]],,{r2=[at4_18, at4_6, at4_3, at3_25, at3_28, at3_7, at3_4, at3_10, at3_16, at3_19, at2_11, at2_8, at2_5, at2_26, at2_29], r3=[at4_15, at4_9, at4_21, at4_24, at4_27, at4_12, at3_13, at3_22, at2_14, at2_17, at2_20, at2_23], r4=[at1_1, at1_2], r5=[at1_1, at1_2]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/Hosp/H-r5t29-j2c0o9/results/Alloy//Allocation37.xml
38,,[[r2, r3], [r4, r5]],,{r2=[at4_6, at4_3, at3_25, at3_28, at3_7, at3_4, at3_10, at3_16, at3_19, at2_11, at2_17, at2_8, at2_5, at2_26, at2_29], r3=[at4_15, at4_18, at4_9, at4_21, at4_24, at4_27, at4_12, at3_13, at3_22, at2_14, at2_20, at2_23], r4=[at1_1, at1_2], r5=[at1_1, at1_2]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/Hosp/H-r5t29-j2c0o9/results/Alloy//Allocation38.xml
39,,[[r2, r3], [r4, r5]],,{r2=[at4_6, at4_3, at3_25, at3_28, at3_7, at3_4, at3_10, at3_16, at3_19, at2_17, at2_8, at2_5, at2_26, at2_29], r3=[at4_15, at4_18, at4_9, at4_21, at4_24, at4_27, at4_12, at3_13, at3_22, at2_11, at2_14, at2_20, at2_23], r4=[at1_1, at1_2], r5=[at1_1, at1_2]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/Hosp/H-r5t29-j2c0o9/results/Alloy//Allocation39.xml
40,,[[r2, r3], [r4, r5]],,{r2=[at4_6, at4_3, at4_27, at3_25, at3_28, at3_7, at3_4, at3_10, at3_16, at3_19, at2_17, at2_8, at2_5, at2_26, at2_29], r3=[at4_15, at4_18, at4_9, at4_21, at4_24, at4_12, at3_13, at3_22, at2_11, at2_14, at2_20, at2_23], r4=[at1_1, at1_2], r5=[at1_1, at1_2]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/Hosp/H-r5t29-j2c0o9/results/Alloy//Allocation40.xml
41,,[[r2, r3], [r4, r5]],,{r2=[at4_6, at4_3, at4_24, at3_25, at3_28, at3_7, at3_4, at3_10, at3_16, at3_19, at2_17, at2_8, at2_5, at2_26, at2_29], r3=[at4_15, at4_18, at4_9, at4_21, at4_27, at4_12, at3_13, at3_22, at2_11, at2_14, at2_20, at2_23], r4=[at1_1, at1_2], r5=[at1_1, at1_2]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/Hosp/H-r5t29-j2c0o9/results/Alloy//Allocation41.xml
42,,[[r2, r3], [r4, r5]],,{r2=[at4_6, at4_3, at4_21, at3_25, at3_28, at3_7, at3_4, at3_10, at3_16, at3_19, at2_17, at2_8, at2_5, at2_26, at2_29], r3=[at4_15, at4_18, at4_9, at4_24, at4_27, at4_12, at3_13, at3_22, at2_11, at2_14, at2_20, at2_23], r4=[at1_1, at1_2], r5=[at1_1, at1_2]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/Hosp/H-r5t29-j2c0o9/results/Alloy//Allocation42.xml
43,,[[r2, r3], [r4, r5]],,{r2=[at4_6, at4_3, at3_25, at3_28, at3_7, at3_4, at3_10, at3_16, at3_19, at3_22, at2_17, at2_8, at2_5, at2_26, at2_29], r3=[at4_15, at4_18, at4_9, at4_21, at4_24, at4_27, at4_12, at3_13, at2_11, at2_14, at2_20, at2_23], r4=[at1_1, at1_2], r5=[at1_1, at1_2]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/Hosp/H-r5t29-j2c0o9/results/Alloy//Allocation43.xml
44,,[[r2, r3], [r4, r5]],,{r2=[at4_6, at4_9, at4_3, at3_25, at3_28, at3_7, at3_4, at3_10, at3_16, at3_19, at2_17, at2_8, at2_5, at2_26, at2_29], r3=[at4_15, at4_18, at4_21, at4_24, at4_27, at4_12, at3_13, at3_22, at2_11, at2_14, at2_20, at2_23], r4=[at1_1, at1_2], r5=[at1_1, at1_2]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/Hosp/H-r5t29-j2c0o9/results/Alloy//Allocation44.xml
