alloc,,robots,,perm,,reason,,time
1,,[r3, r4, r5, r1],,[1, 2, 2, 2542],,noPlanSynthesised,,2412
1,,[r3, r4, r5, r1],,[1, 2, 1, 1000],,noPlanSynthesised,,62368
1,,[r3, r4, r5, r1],,[1, 1, 2, 480],,noPlanSynthesised,,62672
1,,[r3, r4, r5, r1],,[1, 1, 2, 2296],,noPlanSynthesised,,62969
1,,[r3, r4, r5, r1],,[1, 2, 2, 3450],,noPlanSynthesised,,63272
1,,[r3, r4, r5, r1],,[1, 2, 1, 1802],,noPlanSynthesised,,63572
1,,[r3, r4, r5, r1],,[1, 2, 1, 3239],,noPlanSynthesised,,63887
1,,[r3, r4, r5, r1],,[1, 2, 2, 3566],,noPlanSynthesised,,64207
1,,[r3, r4, r5, r1],,[1, 1, 2, 1817],,noPlanSynthesised,,64524
1,,[r3, r4, r5, r1],,[1, 1, 2, 85],,noPlanSynthesised,,64843
1,,[r3, r4, r5, r1],,[1, 1, 2, 3745],,noPlanSynthesised,,65129
1,,[r3, r4, r5, r1],,[1, 1, 1, 3922],,noPlanSynthesised,,65458
1,,[r3, r4, r5, r1],,[1, 1, 2, 803],,noPlanSynthesised,,65763
1,,[r3, r4, r5, r1],,[1, 1, 2, 2826],,noPlanSynthesised,,66070
1,,[r3, r4, r5, r1],,[1, 1, 1, 214],,noPlanSynthesised,,66488
1,,[r3, r4, r5, r1],,[1, 2, 1, 1409],,noPlanSynthesised,,67637
1,,[r3, r4, r5, r1],,[1, 2, 1, 2042],,noPlanSynthesised,,67936
1,,[r3, r4, r5, r1],,[1, 2, 2, 4191],,noPlanSynthesised,,68274
1,,[r3, r4, r5, r1],,[1, 1, 1, 1227],,noPlanSynthesised,,69518
1,,[r3, r4, r5, r1],,[1, 1, 1, 1541],,noPlanSynthesised,,70002
1,,[r3, r4, r5, r1],,[1, 2, 2, 660],,noPlanSynthesised,,70292
1,,[r3, r4, r5, r1],,[1, 2, 2, 135],,noPlanSynthesised,,70478
1,,[r3, r4, r5, r1],,[1, 2, 2, 3674],,noPlanSynthesised,,70696
1,,[r3, r4, r5, r1],,[1, 1, 2, 3596],,noPlanSynthesised,,70964
1,,[r3, r4, r5, r1],,[1, 2, 2, 2078],,noPlanSynthesised,,71238
1,,[r3, r4, r5, r1],,[1, 2, 1, 936],,noPlanSynthesised,,71530
1,,[r3, r4, r5, r1],,[1, 2, 2, 2277],,noPlanSynthesised,,71842
1,,[r3, r4, r5, r1],,[1, 2, 1, 1823],,noPlanSynthesised,,72124
1,,[r3, r4, r5, r1],,[1, 1, 1, 4502],,noPlanSynthesised,,72495
1,,[r3, r4, r5, r1],,[1, 2, 2, 1625],,noPlanSynthesised,,72865
1,,[r3, r4, r5, r1],,[1, 2, 1, 1927],,noPlanSynthesised,,73170
1,,[r3, r4, r5, r1],,[1, 2, 1, 3695],,noPlanSynthesised,,73401
1,,[r3, r4, r5, r1],,[1, 1, 1, 4899],,noPlanSynthesised,,73742
1,,[r3, r4, r5, r1],,[1, 2, 1, 635],,noPlanSynthesised,,74039
1,,[r3, r4, r5, r1],,[1, 1, 1, 3910],,noPlanSynthesised,,74387
1,,[r3, r4, r5, r1],,[1, 2, 2, 1627],,noPlanSynthesised,,74686
1,,[r3, r4, r5, r1],,[1, 1, 1, 302],,noPlanSynthesised,,75060
1,,[r3, r4, r5, r1],,[1, 1, 2, 2655],,noPlanSynthesised,,75422
1,,[r3, r4, r5, r1],,[1, 1, 2, 3260],,noPlanSynthesised,,75719
1,,[r3, r4, r5, r1],,[1, 1, 1, 3606],,noPlanSynthesised,,76074
1,,[r3, r4, r5, r1],,[1, 2, 1, 3361],,noPlanSynthesised,,76389
1,,[r3, r4, r5, r1],,[1, 2, 1, 1796],,noPlanSynthesised,,76659
1,,[r3, r4, r5, r1],,[1, 1, 2, 2481],,noPlanSynthesised,,76950
1,,[r3, r4, r5, r1],,[1, 2, 2, 2159],,noPlanSynthesised,,77260
1,,[r3, r4, r5, r1],,[1, 1, 2, 2530],,noPlanSynthesised,,77573
1,,[r3, r4, r5, r1],,[1, 2, 1, 3420],,noPlanSynthesised,,77855
1,,[r3, r4, r5, r1],,[1, 1, 2, 2333],,noPlanSynthesised,,78176
1,,[r3, r4, r5, r1],,[1, 1, 1, 614],,noPlanSynthesised,,78528
1,,[r3, r4, r5, r1],,[1, 2, 2, 2332],,noPlanSynthesised,,78870
1,,[r3, r4, r5, r1],,[1, 1, 1, 2087],,noPlanSynthesised,,79249
1,,[r3, r4, r5, r1],,[1, 1, 2, 3418],,noPlanSynthesised,,79579
1,,[r3, r4, r5, r1],,[1, 1, 2, 3149],,noPlanSynthesised,,79843
1,,[r3, r4, r5, r1],,[1, 2, 1, 3846],,noPlanSynthesised,,80117
1,,[r3, r4, r5, r1],,[1, 1, 1, 3350],,noPlanSynthesised,,80447
1,,[r3, r4, r5, r1],,[1, 1, 2, 2959],,noPlanSynthesised,,80755
1,,[r3, r4, r5, r1],,[1, 2, 2, 3320],,noPlanSynthesised,,84180
