alloc,,clusters,,tasksAlloc,,file
1,,[[r2]],,{r2=[at2Rock_2, at2Rock_6, at2Rock_4, at1Rock_5, at1Rock_3, at1Rock_1]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/BoAlpha/B-r3t6-j0c3o0/results/Alloy//Allocation1.xml
47,,[[r2, r1]],,{r2=[at2Rock_6, at2Rock_4, at1Rock_5, at1Rock_3, at1Rock_1], r1=[at2Rock_2]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/BoAlpha/B-r3t6-j0c3o0/results/Alloy//Allocation47.xml
48,,[[r2, r1]],,{r2=[at2Rock_2, at2Rock_6, at2Rock_4, at1Rock_5, at1Rock_1], r1=[at1Rock_3]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/BoAlpha/B-r3t6-j0c3o0/results/Alloy//Allocation48.xml
49,,[[r2, r1]],,{r2=[at2Rock_2, at2Rock_6, at2Rock_4, at1Rock_1], r1=[at1Rock_5, at1Rock_3]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/BoAlpha/B-r3t6-j0c3o0/results/Alloy//Allocation49.xml
50,,[[r2, r1]],,{r2=[at2Rock_2, at2Rock_6, at2Rock_4, at1Rock_5], r1=[at1Rock_3, at1Rock_1]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/BoAlpha/B-r3t6-j0c3o0/results/Alloy//Allocation50.xml
51,,[[r2, r1]],,{r2=[at2Rock_2, at2Rock_6, at2Rock_4, at1Rock_3], r1=[at1Rock_5, at1Rock_1]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/BoAlpha/B-r3t6-j0c3o0/results/Alloy//Allocation51.xml
52,,[[r2, r1]],,{r2=[at1Rock_3, at1Rock_1], r1=[at2Rock_2, at2Rock_6, at2Rock_4, at1Rock_5]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/BoAlpha/B-r3t6-j0c3o0/results/Alloy//Allocation52.xml
53,,[[r2, r1]],,{r2=[at2Rock_2], r1=[at2Rock_6, at2Rock_4, at1Rock_5, at1Rock_3, at1Rock_1]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/BoAlpha/B-r3t6-j0c3o0/results/Alloy//Allocation53.xml
54,,[[r2, r1]],,{r2=[at2Rock_2, at2Rock_6], r1=[at2Rock_4, at1Rock_5, at1Rock_3, at1Rock_1]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/BoAlpha/B-r3t6-j0c3o0/results/Alloy//Allocation54.xml
55,,[[r2, r1]],,{r2=[at2Rock_6], r1=[at2Rock_2, at2Rock_4, at1Rock_5, at1Rock_3, at1Rock_1]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/BoAlpha/B-r3t6-j0c3o0/results/Alloy//Allocation55.xml
56,,[[r2, r1]],,{r2=[at2Rock_2, at2Rock_4], r1=[at2Rock_6, at1Rock_5, at1Rock_3, at1Rock_1]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/BoAlpha/B-r3t6-j0c3o0/results/Alloy//Allocation56.xml
57,,[[r2, r1]],,{r2=[at2Rock_4], r1=[at2Rock_2, at2Rock_6, at1Rock_5, at1Rock_3, at1Rock_1]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/BoAlpha/B-r3t6-j0c3o0/results/Alloy//Allocation57.xml
58,,[[r2, r1]],,{r2=[at1Rock_5], r1=[at2Rock_2, at2Rock_6, at2Rock_4, at1Rock_3, at1Rock_1]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/BoAlpha/B-r3t6-j0c3o0/results/Alloy//Allocation58.xml
59,,[[r2, r1]],,{r2=[at1Rock_5, at1Rock_3], r1=[at2Rock_2, at2Rock_6, at2Rock_4, at1Rock_1]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/BoAlpha/B-r3t6-j0c3o0/results/Alloy//Allocation59.xml
60,,[[r2, r1]],,{r2=[at1Rock_3], r1=[at2Rock_2, at2Rock_6, at2Rock_4, at1Rock_5, at1Rock_1]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/BoAlpha/B-r3t6-j0c3o0/results/Alloy//Allocation60.xml
61,,[[r2, r1]],,{r2=[at1Rock_1], r1=[at2Rock_2, at2Rock_6, at2Rock_4, at1Rock_5, at1Rock_3]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/BoAlpha/B-r3t6-j0c3o0/results/Alloy//Allocation61.xml
62,,[[r1]],,{r1=[at2Rock_2, at2Rock_6, at2Rock_4, at1Rock_5, at1Rock_3, at1Rock_1]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/BoAlpha/B-r3t6-j0c3o0/results/Alloy//Allocation62.xml
63,,[[r2, r1]],,{r2=[at1Rock_5, at1Rock_3, at1Rock_1], r1=[at2Rock_2, at2Rock_6, at2Rock_4]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/BoAlpha/B-r3t6-j0c3o0/results/Alloy//Allocation63.xml
64,,[[r2, r1]],,{r2=[at2Rock_2, at2Rock_6, at2Rock_4], r1=[at1Rock_5, at1Rock_3, at1Rock_1]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/BoAlpha/B-r3t6-j0c3o0/results/Alloy//Allocation64.xml
