alloc,,clusters,,tasksAlloc,,file
1,,[[r3, r4, r5, r1]],,{r3=[ate_14, at4_8, at4_11, at3_9, at2_10], r4=[ate_14, at1_1], r5=[ate_14, at1_1], r1=[ate_14, at4_2, at4_5, at3_12, at3_3, at3_6, at2_13, at2_4, at2_7]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/AllRobotsDeployed/Hospital/Robots/H-r4-t14-i20/results/Alloy//Allocation1.xml
12,,[[r3, r4, r5, r1]],,{r3=[ate_14, at4_8, at4_11, at3_9, at2_13], r4=[ate_14, at1_1], r5=[ate_14, at1_1], r1=[ate_14, at4_2, at4_5, at3_12, at3_3, at3_6, at2_4, at2_7, at2_10]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/AllRobotsDeployed/Hospital/Robots/H-r4-t14-i20/results/Alloy//Allocation12.xml
13,,[[r3, r4, r5, r1]],,{r3=[ate_14, at4_11, at3_9, at2_13], r4=[ate_14, at1_1], r5=[ate_14, at1_1], r1=[ate_14, at4_8, at4_2, at4_5, at3_12, at3_3, at3_6, at2_4, at2_7, at2_10]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/AllRobotsDeployed/Hospital/Robots/H-r4-t14-i20/results/Alloy//Allocation13.xml
14,,[[r3, r4, r5, r1]],,{r3=[ate_14, at4_11, at3_12, at3_9, at2_13], r4=[ate_14, at1_1], r5=[ate_14, at1_1], r1=[ate_14, at4_8, at4_2, at4_5, at3_3, at3_6, at2_4, at2_7, at2_10]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/AllRobotsDeployed/Hospital/Robots/H-r4-t14-i20/results/Alloy//Allocation14.xml
15,,[[r3, r4, r5, r1]],,{r3=[ate_14, at4_8, at3_12, at3_9, at2_13], r4=[ate_14, at1_1], r5=[ate_14, at1_1], r1=[ate_14, at4_2, at4_5, at4_11, at3_3, at3_6, at2_4, at2_7, at2_10]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/AllRobotsDeployed/Hospital/Robots/H-r4-t14-i20/results/Alloy//Allocation15.xml
16,,[[r3, r4, r5, r1]],,{r3=[ate_14, at4_11, at3_12, at3_9, at2_13, at2_10], r4=[ate_14, at1_1], r5=[ate_14, at1_1], r1=[ate_14, at4_8, at4_2, at4_5, at3_3, at3_6, at2_4, at2_7]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/AllRobotsDeployed/Hospital/Robots/H-r4-t14-i20/results/Alloy//Allocation16.xml
17,,[[r3, r4, r5, r1]],,{r3=[ate_14, at4_8, at3_12, at2_10], r4=[ate_14, at1_1], r5=[ate_14, at1_1], r1=[ate_14, at4_2, at4_5, at4_11, at3_9, at3_3, at3_6, at2_13, at2_4, at2_7]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/AllRobotsDeployed/Hospital/Robots/H-r4-t14-i20/results/Alloy//Allocation17.xml
18,,[[r3, r4, r5, r1]],,{r3=[ate_14, at4_8, at4_11, at3_12, at2_10], r4=[ate_14, at1_1], r5=[ate_14, at1_1], r1=[ate_14, at4_2, at4_5, at3_9, at3_3, at3_6, at2_13, at2_4, at2_7]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/AllRobotsDeployed/Hospital/Robots/H-r4-t14-i20/results/Alloy//Allocation18.xml
19,,[[r3, r4, r5, r1]],,{r3=[ate_14, at4_8, at4_11, at3_12, at3_9, at2_10], r4=[ate_14, at1_1], r5=[ate_14, at1_1], r1=[ate_14, at4_2, at4_5, at3_3, at3_6, at2_13, at2_4, at2_7]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/AllRobotsDeployed/Hospital/Robots/H-r4-t14-i20/results/Alloy//Allocation19.xml
20,,[[r3, r4, r5, r1]],,{r3=[ate_14, at4_8, at3_9, at2_10], r4=[ate_14, at1_1], r5=[ate_14, at1_1], r1=[ate_14, at4_2, at4_5, at4_11, at3_12, at3_3, at3_6, at2_13, at2_4, at2_7]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/AllRobotsDeployed/Hospital/Robots/H-r4-t14-i20/results/Alloy//Allocation20.xml
21,,[[r3, r4, r5, r1]],,{r3=[ate_14, at4_11, at3_9, at2_10], r4=[ate_14, at1_1], r5=[ate_14, at1_1], r1=[ate_14, at4_8, at4_2, at4_5, at3_12, at3_3, at3_6, at2_13, at2_4, at2_7]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/AllRobotsDeployed/Hospital/Robots/H-r4-t14-i20/results/Alloy//Allocation21.xml
22,,[[r3, r4, r5, r1]],,{r3=[ate_14, at4_11, at3_12, at3_9, at2_10], r4=[ate_14, at1_1], r5=[ate_14, at1_1], r1=[ate_14, at4_8, at4_2, at4_5, at3_3, at3_6, at2_13, at2_4, at2_7]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/AllRobotsDeployed/Hospital/Robots/H-r4-t14-i20/results/Alloy//Allocation22.xml
23,,[[r3, r4, r5, r1]],,{r3=[ate_14, at4_8, at3_12, at3_9, at2_10], r4=[ate_14, at1_1], r5=[ate_14, at1_1], r1=[ate_14, at4_2, at4_5, at4_11, at3_3, at3_6, at2_13, at2_4, at2_7]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/AllRobotsDeployed/Hospital/Robots/H-r4-t14-i20/results/Alloy//Allocation23.xml
24,,[[r3, r4, r5, r1]],,{r3=[ate_14, at4_11, at3_12, at2_13, at2_10], r4=[ate_14, at1_1], r5=[ate_14, at1_1], r1=[ate_14, at4_8, at4_2, at4_5, at3_9, at3_3, at3_6, at2_4, at2_7]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/AllRobotsDeployed/Hospital/Robots/H-r4-t14-i20/results/Alloy//Allocation24.xml
25,,[[r3, r4, r5, r1]],,{r3=[ate_14, at4_8, at3_12, at2_13, at2_10], r4=[ate_14, at1_1], r5=[ate_14, at1_1], r1=[ate_14, at4_2, at4_5, at4_11, at3_9, at3_3, at3_6, at2_4, at2_7]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/AllRobotsDeployed/Hospital/Robots/H-r4-t14-i20/results/Alloy//Allocation25.xml
26,,[[r3, r4, r5, r1]],,{r3=[ate_14, at4_8, at4_11, at3_12, at2_13, at2_10], r4=[ate_14, at1_1], r5=[ate_14, at1_1], r1=[ate_14, at4_2, at4_5, at3_9, at3_3, at3_6, at2_4, at2_7]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/AllRobotsDeployed/Hospital/Robots/H-r4-t14-i20/results/Alloy//Allocation26.xml
27,,[[r3, r4, r5, r1]],,{r3=[ate_14, at4_8, at4_11, at3_9, at2_13, at2_10], r4=[ate_14, at1_1], r5=[ate_14, at1_1], r1=[ate_14, at4_2, at4_5, at3_12, at3_3, at3_6, at2_4, at2_7]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/AllRobotsDeployed/Hospital/Robots/H-r4-t14-i20/results/Alloy//Allocation27.xml
28,,[[r3, r4, r5, r1]],,{r3=[ate_14, at4_8, at3_9, at2_13, at2_10], r4=[ate_14, at1_1], r5=[ate_14, at1_1], r1=[ate_14, at4_2, at4_5, at4_11, at3_12, at3_3, at3_6, at2_4, at2_7]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/AllRobotsDeployed/Hospital/Robots/H-r4-t14-i20/results/Alloy//Allocation28.xml
29,,[[r3, r4, r5, r1]],,{r3=[ate_14, at4_11, at3_9, at2_13, at2_10], r4=[ate_14, at1_1], r5=[ate_14, at1_1], r1=[ate_14, at4_8, at4_2, at4_5, at3_12, at3_3, at3_6, at2_4, at2_7]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/AllRobotsDeployed/Hospital/Robots/H-r4-t14-i20/results/Alloy//Allocation29.xml
30,,[[r3, r4, r5, r1]],,{r3=[ate_14, at4_8, at3_12, at3_9, at2_13, at2_10], r4=[ate_14, at1_1], r5=[ate_14, at1_1], r1=[ate_14, at4_2, at4_5, at4_11, at3_3, at3_6, at2_4, at2_7]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/AllRobotsDeployed/Hospital/Robots/H-r4-t14-i20/results/Alloy//Allocation30.xml
31,,[[r3, r4, r5, r1]],,{r3=[ate_14, at3_12, at2_13], r4=[ate_14, at1_1], r5=[ate_14, at1_1], r1=[ate_14, at4_8, at4_2, at4_5, at4_11, at3_9, at3_3, at3_6, at2_4, at2_7, at2_10]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/AllRobotsDeployed/Hospital/Robots/H-r4-t14-i20/results/Alloy//Allocation31.xml
32,,[[r3, r4, r5, r1]],,{r3=[ate_14, at4_8, at3_12], r4=[ate_14, at1_1], r5=[ate_14, at1_1], r1=[ate_14, at4_2, at4_5, at4_11, at3_9, at3_3, at3_6, at2_13, at2_4, at2_7, at2_10]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/AllRobotsDeployed/Hospital/Robots/H-r4-t14-i20/results/Alloy//Allocation32.xml
33,,[[r3, r4, r5, r1]],,{r3=[ate_14, at4_11, at2_13], r4=[ate_14, at1_1], r5=[ate_14, at1_1], r1=[ate_14, at4_8, at4_2, at4_5, at3_12, at3_9, at3_3, at3_6, at2_4, at2_7, at2_10]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/AllRobotsDeployed/Hospital/Robots/H-r4-t14-i20/results/Alloy//Allocation33.xml
34,,[[r3, r4, r5, r1]],,{r3=[ate_14, at3_12, at3_9, at2_13], r4=[ate_14, at1_1], r5=[ate_14, at1_1], r1=[ate_14, at4_8, at4_2, at4_5, at4_11, at3_3, at3_6, at2_4, at2_7, at2_10]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/AllRobotsDeployed/Hospital/Robots/H-r4-t14-i20/results/Alloy//Allocation34.xml
35,,[[r3, r4, r5, r1]],,{r3=[ate_14, at4_8, at4_11, at3_12], r4=[ate_14, at1_1], r5=[ate_14, at1_1], r1=[ate_14, at4_2, at4_5, at3_9, at3_3, at3_6, at2_13, at2_4, at2_7, at2_10]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/AllRobotsDeployed/Hospital/Robots/H-r4-t14-i20/results/Alloy//Allocation35.xml
36,,[[r3, r4, r5, r1]],,{r3=[ate_14, at3_12, at2_13, at2_10], r4=[ate_14, at1_1], r5=[ate_14, at1_1], r1=[ate_14, at4_8, at4_2, at4_5, at4_11, at3_9, at3_3, at3_6, at2_4, at2_7]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/AllRobotsDeployed/Hospital/Robots/H-r4-t14-i20/results/Alloy//Allocation36.xml
37,,[[r3, r4, r5, r1]],,{r3=[ate_14, at3_12, at2_10], r4=[ate_14, at1_1], r5=[ate_14, at1_1], r1=[ate_14, at4_8, at4_2, at4_5, at4_11, at3_9, at3_3, at3_6, at2_13, at2_4, at2_7]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/AllRobotsDeployed/Hospital/Robots/H-r4-t14-i20/results/Alloy//Allocation37.xml
38,,[[r3, r4, r5, r1]],,{r3=[ate_14, at3_12, at3_9, at2_10], r4=[ate_14, at1_1], r5=[ate_14, at1_1], r1=[ate_14, at4_8, at4_2, at4_5, at4_11, at3_3, at3_6, at2_13, at2_4, at2_7]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/AllRobotsDeployed/Hospital/Robots/H-r4-t14-i20/results/Alloy//Allocation38.xml
39,,[[r3, r4, r5, r1]],,{r3=[ate_14, at4_11, at3_12], r4=[ate_14, at1_1], r5=[ate_14, at1_1], r1=[ate_14, at4_8, at4_2, at4_5, at3_9, at3_3, at3_6, at2_13, at2_4, at2_7, at2_10]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/AllRobotsDeployed/Hospital/Robots/H-r4-t14-i20/results/Alloy//Allocation39.xml
40,,[[r3, r4, r5, r1]],,{r3=[ate_14, at4_11, at3_12, at3_9], r4=[ate_14, at1_1], r5=[ate_14, at1_1], r1=[ate_14, at4_8, at4_2, at4_5, at3_3, at3_6, at2_13, at2_4, at2_7, at2_10]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/AllRobotsDeployed/Hospital/Robots/H-r4-t14-i20/results/Alloy//Allocation40.xml
41,,[[r3, r4, r5, r1]],,{r3=[ate_14, at4_8, at4_11, at3_9], r4=[ate_14, at1_1], r5=[ate_14, at1_1], r1=[ate_14, at4_2, at4_5, at3_12, at3_3, at3_6, at2_13, at2_4, at2_7, at2_10]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/AllRobotsDeployed/Hospital/Robots/H-r4-t14-i20/results/Alloy//Allocation41.xml
42,,[[r3, r4, r5, r1]],,{r3=[ate_14, at4_11, at3_9], r4=[ate_14, at1_1], r5=[ate_14, at1_1], r1=[ate_14, at4_8, at4_2, at4_5, at3_12, at3_3, at3_6, at2_13, at2_4, at2_7, at2_10]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/AllRobotsDeployed/Hospital/Robots/H-r4-t14-i20/results/Alloy//Allocation42.xml
43,,[[r3, r4, r5, r1]],,{r3=[ate_14, at4_8, at3_12, at3_9], r4=[ate_14, at1_1], r5=[ate_14, at1_1], r1=[ate_14, at4_2, at4_5, at4_11, at3_3, at3_6, at2_13, at2_4, at2_7, at2_10]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/AllRobotsDeployed/Hospital/Robots/H-r4-t14-i20/results/Alloy//Allocation43.xml
44,,[[r3, r4, r5, r1]],,{r3=[ate_14, at4_8, at4_11, at2_13], r4=[ate_14, at1_1], r5=[ate_14, at1_1], r1=[ate_14, at4_2, at4_5, at3_12, at3_9, at3_3, at3_6, at2_4, at2_7, at2_10]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/AllRobotsDeployed/Hospital/Robots/H-r4-t14-i20/results/Alloy//Allocation44.xml
45,,[[r3, r4, r5, r1]],,{r3=[ate_14, at4_11, at2_10], r4=[ate_14, at1_1], r5=[ate_14, at1_1], r1=[ate_14, at4_8, at4_2, at4_5, at3_12, at3_9, at3_3, at3_6, at2_13, at2_4, at2_7]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/AllRobotsDeployed/Hospital/Robots/H-r4-t14-i20/results/Alloy//Allocation45.xml
46,,[[r3, r4, r5, r1]],,{r3=[ate_14, at4_8, at2_13], r4=[ate_14, at1_1], r5=[ate_14, at1_1], r1=[ate_14, at4_2, at4_5, at4_11, at3_12, at3_9, at3_3, at3_6, at2_4, at2_7, at2_10]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/AllRobotsDeployed/Hospital/Robots/H-r4-t14-i20/results/Alloy//Allocation46.xml
47,,[[r3, r4, r5, r1]],,{r3=[ate_14, at3_9, at2_13], r4=[ate_14, at1_1], r5=[ate_14, at1_1], r1=[ate_14, at4_8, at4_2, at4_5, at4_11, at3_12, at3_3, at3_6, at2_4, at2_7, at2_10]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/AllRobotsDeployed/Hospital/Robots/H-r4-t14-i20/results/Alloy//Allocation47.xml
48,,[[r3, r4, r5, r1]],,{r3=[ate_14, at3_9, at2_13, at2_10], r4=[ate_14, at1_1], r5=[ate_14, at1_1], r1=[ate_14, at4_8, at4_2, at4_5, at4_11, at3_12, at3_3, at3_6, at2_4, at2_7]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/AllRobotsDeployed/Hospital/Robots/H-r4-t14-i20/results/Alloy//Allocation48.xml
49,,[[r3, r4, r5, r1]],,{r3=[ate_14, at4_8, at2_10], r4=[ate_14, at1_1], r5=[ate_14, at1_1], r1=[ate_14, at4_2, at4_5, at4_11, at3_12, at3_9, at3_3, at3_6, at2_13, at2_4, at2_7]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/AllRobotsDeployed/Hospital/Robots/H-r4-t14-i20/results/Alloy//Allocation49.xml
50,,[[r3, r4, r5, r1]],,{r3=[ate_14, at4_8, at4_11, at2_10], r4=[ate_14, at1_1], r5=[ate_14, at1_1], r1=[ate_14, at4_2, at4_5, at3_12, at3_9, at3_3, at3_6, at2_13, at2_4, at2_7]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/AllRobotsDeployed/Hospital/Robots/H-r4-t14-i20/results/Alloy//Allocation50.xml
51,,[[r3, r4, r5, r1]],,{r3=[ate_14, at3_9, at2_10], r4=[ate_14, at1_1], r5=[ate_14, at1_1], r1=[ate_14, at4_8, at4_2, at4_5, at4_11, at3_12, at3_3, at3_6, at2_13, at2_4, at2_7]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/AllRobotsDeployed/Hospital/Robots/H-r4-t14-i20/results/Alloy//Allocation51.xml
52,,[[r3, r4, r5, r1]],,{r3=[ate_14, at3_12, at3_9, at2_13, at2_10], r4=[ate_14, at1_1], r5=[ate_14, at1_1], r1=[ate_14, at4_8, at4_2, at4_5, at4_11, at3_3, at3_6, at2_4, at2_7]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/AllRobotsDeployed/Hospital/Robots/H-r4-t14-i20/results/Alloy//Allocation52.xml
53,,[[r3, r4, r5, r1]],,{r3=[ate_14, at4_11, at2_13, at2_10], r4=[ate_14, at1_1], r5=[ate_14, at1_1], r1=[ate_14, at4_8, at4_2, at4_5, at3_12, at3_9, at3_3, at3_6, at2_4, at2_7]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/AllRobotsDeployed/Hospital/Robots/H-r4-t14-i20/results/Alloy//Allocation53.xml
54,,[[r3, r4, r5, r1]],,{r3=[ate_14, at4_8, at2_13, at2_10], r4=[ate_14, at1_1], r5=[ate_14, at1_1], r1=[ate_14, at4_2, at4_5, at4_11, at3_12, at3_9, at3_3, at3_6, at2_4, at2_7]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/AllRobotsDeployed/Hospital/Robots/H-r4-t14-i20/results/Alloy//Allocation54.xml
55,,[[r3, r4, r5, r1]],,{r3=[ate_14, at4_8, at4_11, at2_13, at2_10], r4=[ate_14, at1_1], r5=[ate_14, at1_1], r1=[ate_14, at4_2, at4_5, at3_12, at3_9, at3_3, at3_6, at2_4, at2_7]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/AllRobotsDeployed/Hospital/Robots/H-r4-t14-i20/results/Alloy//Allocation55.xml
56,,[[r3, r4, r5, r1]],,{r3=[ate_14, at4_11], r4=[ate_14, at1_1], r5=[ate_14, at1_1], r1=[ate_14, at4_8, at4_2, at4_5, at3_12, at3_9, at3_3, at3_6, at2_13, at2_4, at2_7, at2_10]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/AllRobotsDeployed/Hospital/Robots/H-r4-t14-i20/results/Alloy//Allocation56.xml
57,,[[r3, r4, r5, r1]],,{r3=[ate_14, at4_8], r4=[ate_14, at1_1], r5=[ate_14, at1_1], r1=[ate_14, at4_2, at4_5, at4_11, at3_12, at3_9, at3_3, at3_6, at2_13, at2_4, at2_7, at2_10]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/AllRobotsDeployed/Hospital/Robots/H-r4-t14-i20/results/Alloy//Allocation57.xml
58,,[[r3, r4, r5, r1]],,{r3=[ate_14, at2_13, at2_10], r4=[ate_14, at1_1], r5=[ate_14, at1_1], r1=[ate_14, at4_8, at4_2, at4_5, at4_11, at3_12, at3_9, at3_3, at3_6, at2_4, at2_7]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/AllRobotsDeployed/Hospital/Robots/H-r4-t14-i20/results/Alloy//Allocation58.xml
59,,[[r3, r4, r5, r1]],,{r3=[ate_14, at2_10], r4=[ate_14, at1_1], r5=[ate_14, at1_1], r1=[ate_14, at4_8, at4_2, at4_5, at4_11, at3_12, at3_9, at3_3, at3_6, at2_13, at2_4, at2_7]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/AllRobotsDeployed/Hospital/Robots/H-r4-t14-i20/results/Alloy//Allocation59.xml
60,,[[r3, r4, r5, r1]],,{r3=[ate_14, at2_13], r4=[ate_14, at1_1], r5=[ate_14, at1_1], r1=[ate_14, at4_8, at4_2, at4_5, at4_11, at3_12, at3_9, at3_3, at3_6, at2_4, at2_7, at2_10]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/AllRobotsDeployed/Hospital/Robots/H-r4-t14-i20/results/Alloy//Allocation60.xml
61,,[[r3, r4, r5, r1]],,{r3=[ate_14, at4_8, at4_11], r4=[ate_14, at1_1], r5=[ate_14, at1_1], r1=[ate_14, at4_2, at4_5, at3_12, at3_9, at3_3, at3_6, at2_13, at2_4, at2_7, at2_10]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/AllRobotsDeployed/Hospital/Robots/H-r4-t14-i20/results/Alloy//Allocation61.xml
62,,[[r3, r4, r5, r1]],,{r3=[ate_14, at3_12], r4=[ate_14, at1_1], r5=[ate_14, at1_1], r1=[ate_14, at4_8, at4_2, at4_5, at4_11, at3_9, at3_3, at3_6, at2_13, at2_4, at2_7, at2_10]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/AllRobotsDeployed/Hospital/Robots/H-r4-t14-i20/results/Alloy//Allocation62.xml
63,,[[r3, r4, r5, r1]],,{r3=[ate_14, at3_12, at3_9], r4=[ate_14, at1_1], r5=[ate_14, at1_1], r1=[ate_14, at4_8, at4_2, at4_5, at4_11, at3_3, at3_6, at2_13, at2_4, at2_7, at2_10]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/AllRobotsDeployed/Hospital/Robots/H-r4-t14-i20/results/Alloy//Allocation63.xml
